시퀀스 명,시퀀스 길이(초),Turn의 False 비율(%),Lane의 False 비율(%),Speed의 False 비율(%),Hazard의 False 비율(%)
FFE809A4,20,100.0,100.0,100.0,100.0
FFE809A6,20,95.0,100.0,100.0,100.0
FFE809AC,20,100.0,100.0,100.0,100.0
FFE809AF,20,100.0,100.0,100.0,100.0
FFE809C2,20,90.0,100.0,100.0,100.0
FFE809CA,20,100.0,100.0,100.0,100.0
FFE809D3,20,100.0,100.0,100.0,100.0
FFE809DD,20,100.0,100.0,100.0,100.0
FFE809EA,20,100.0,100.0,100.0,100.0
FFE809EB,20,90.0,100.0,100.0,100.0
FFE809F0,20,100.0,100.0,100.0,100.0
FFE809F4,20,90.0,100.0,100.0,100.0
FFE809FC,20,100.0,100.0,100.0,100.0
FFE80A0A,20,95.0,100.0,100.0,100.0
FFE80A0B,20,100.0,100.0,100.0,100.0
FFE80A15,20,100.0,100.0,100.0,100.0
FFE80A19,20,100.0,100.0,100.0,100.0
FFE80A62,20,95.0,100.0,100.0,100.0
FFE80A74,20,100.0,100.0,100.0,100.0
FFE80A93,20,100.0,100.0,100.0,100.0
FFE80A94,20,100.0,100.0,100.0,100.0
FFE80AA0,20,90.0,100.0,100.0,100.0
FFE80AB3,20,95.0,100.0,100.0,100.0
FFE80ABB,20,70.0,100.0,100.0,100.0
FFE80ABC,20,100.0,100.0,100.0,100.0
FFE80AE7,20,80.0,100.0,100.0,100.0
FFE80AF4,20,90.0,100.0,100.0,100.0
FFE80AFB,20,100.0,100.0,100.0,100.0
FFE80AFC,20,95.0,100.0,100.0,100.0
FFE80AFD,20,90.0,100.0,100.0,100.0
FFE80B06,20,95.0,100.0,100.0,100.0
FFE80B18,20,95.0,100.0,100.0,100.0
FFE80B1A,20,90.0,100.0,100.0,100.0
FFE80B29,20,95.0,100.0,100.0,100.0
FFE80B2A,20,95.0,100.0,100.0,100.0
FFE80B31,20,95.0,100.0,100.0,100.0
FFE80B36,20,80.0,100.0,100.0,100.0
FFE80B3D,20,95.0,100.0,100.0,100.0
FFE80B5A,20,100.0,100.0,100.0,100.0
FFE80B65,20,100.0,100.0,100.0,100.0
FFE80B69,20,90.0,100.0,100.0,100.0
FFE80B74,20,100.0,100.0,100.0,100.0
FFE80B76,20,100.0,100.0,100.0,100.0
FFE80B92,20,90.0,100.0,100.0,100.0
FFE80B99,20,95.0,100.0,100.0,100.0
FFE80BA0,20,100.0,100.0,100.0,100.0
FFE80BB6,20,90.0,100.0,100.0,100.0
FFE80BC0,20,85.0,100.0,100.0,100.0
FFE80BCC,20,95.0,100.0,100.0,100.0
FFE80BD7,20,85.0,100.0,100.0,100.0
FFE80BDB,20,100.0,100.0,100.0,100.0
FFE80BE6,20,95.0,100.0,100.0,100.0
FFE80BEB,20,100.0,100.0,100.0,100.0
FFE80BEF,20,100.0,100.0,100.0,100.0
FFE80BF3,20,100.0,100.0,100.0,100.0
FFE80BF8,20,100.0,100.0,100.0,100.0
FFE80C01,20,95.0,100.0,100.0,100.0
FFE80C1F,20,95.0,100.0,100.0,100.0
FFE80C20,20,95.0,100.0,100.0,100.0
FFE80C29,20,95.0,100.0,100.0,100.0
FFE80C2C,20,100.0,100.0,100.0,100.0
FFE80C2D,20,95.0,100.0,100.0,100.0
