시퀀스 명,시퀀스 길이(초),Turn의 False 비율(%),Lane의 False 비율(%),Speed의 False 비율(%),Hazard의 False 비율(%)
FFE809A5,20,100.0,100.0,100.0,100.0
FFE809A9,20,100.0,100.0,100.0,100.0
FFE809AB,20,100.0,100.0,100.0,100.0
FFE809B4,20,100.0,100.0,100.0,100.0
FFE809BF,20,80.0,100.0,100.0,100.0
FFE809C3,20,95.0,100.0,100.0,100.0
FFE809C7,20,95.0,100.0,100.0,100.0
FFE809CB,20,90.0,100.0,100.0,100.0
FFE809CE,20,95.0,100.0,100.0,100.0
FFE809DB,20,100.0,100.0,100.0,100.0
FFE809E2,20,100.0,100.0,100.0,100.0
FFE809F9,20,90.0,100.0,100.0,100.0
FFE80A23,20,100.0,100.0,100.0,100.0
FFE80A25,20,100.0,100.0,100.0,100.0
FFE80A3E,20,90.0,100.0,100.0,100.0
FFE80A47,20,100.0,100.0,100.0,100.0
FFE80A4F,20,90.0,100.0,100.0,100.0
FFE80A56,20,85.0,100.0,100.0,100.0
FFE80A71,20,100.0,100.0,100.0,100.0
FFE80A7D,20,80.0,100.0,100.0,100.0
FFE80A8D,20,80.0,100.0,100.0,100.0
FFE80A93,20,100.0,100.0,100.0,100.0
FFE80AA2,20,95.0,100.0,100.0,100.0
FFE80AAE,20,100.0,100.0,100.0,100.0
FFE80AC7,20,90.0,100.0,100.0,100.0
FFE80ACA,20,100.0,100.0,100.0,100.0
FFE80ACD,20,95.0,100.0,100.0,100.0
FFE80AD2,20,100.0,100.0,100.0,100.0
FFE80AD9,20,100.0,100.0,100.0,100.0
FFE80ADD,20,95.0,100.0,100.0,100.0
FFE80AE9,20,100.0,100.0,100.0,100.0
FFE80AEE,20,75.0,100.0,100.0,100.0
FFE80AF1,20,100.0,100.0,100.0,100.0
FFE80B0C,20,100.0,100.0,100.0,100.0
FFE80B15,20,100.0,100.0,100.0,100.0
FFE80B20,20,90.0,100.0,100.0,100.0
FFE80B2E,20,100.0,100.0,100.0,100.0
FFE80B35,20,100.0,100.0,100.0,100.0
FFE80B37,20,90.0,100.0,100.0,100.0
FFE80B44,20,100.0,100.0,100.0,100.0
FFE80B45,20,100.0,100.0,100.0,100.0
FFE80B46,20,90.0,100.0,100.0,100.0
FFE80B4D,20,100.0,100.0,100.0,100.0
FFE80B4F,20,90.0,100.0,100.0,100.0
FFE80B57,20,100.0,100.0,100.0,100.0
FFE80B5D,20,80.0,100.0,100.0,100.0
FFE80B5F,20,90.0,100.0,100.0,100.0
FFE80B61,20,90.0,100.0,100.0,100.0
FFE80B63,20,95.0,100.0,100.0,100.0
FFE80B6C,20,100.0,100.0,100.0,100.0
FFE80B70,20,75.0,100.0,100.0,100.0
FFE80B78,20,95.0,100.0,100.0,100.0
FFE80B8F,20,90.0,100.0,100.0,100.0
FFE80B99,20,85.0,100.0,100.0,100.0
FFE80BAA,20,90.0,100.0,100.0,100.0
FFE80BAD,20,100.0,100.0,100.0,100.0
FFE80BBD,20,100.0,100.0,100.0,100.0
FFE80BC5,20,90.0,100.0,100.0,100.0
FFE80BCA,20,90.0,100.0,100.0,100.0
FFE80BCF,20,95.0,100.0,100.0,100.0
FFE80BD0,20,100.0,100.0,100.0,100.0
FFE80BD3,20,90.0,100.0,100.0,100.0
FFE80BD4,20,100.0,100.0,100.0,100.0
FFE80BE6,20,90.0,100.0,100.0,100.0
FFE80C02,20,75.0,100.0,100.0,100.0
FFE80C0E,20,100.0,100.0,100.0,100.0
FFE80C1D,20,95.0,100.0,100.0,100.0
