시퀀스 명,시퀀스 길이(초),Turn의 False 비율(%),Lane의 False 비율(%),Speed의 False 비율(%),Hazard의 False 비율(%)
FFE809A9,80,86.25,100.0,100.0,100.0
FFE809B7,80,95.0,100.0,100.0,100.0
FFE809C2,80,98.75,100.0,100.0,100.0
FFE809C9,80,92.5,100.0,100.0,100.0
FFE809CF,80,96.25,100.0,100.0,100.0
FFE809EA,80,98.75,100.0,100.0,100.0
FFE809ED,80,95.0,100.0,100.0,100.0
FFE809F6,80,93.75,100.0,100.0,100.0
FFE80A00,80,95.0,100.0,100.0,100.0
FFE80A01,80,97.5,100.0,100.0,100.0
FFE80A03,80,96.25,100.0,100.0,100.0
FFE80A09,80,98.75,100.0,100.0,100.0
FFE80A12,80,93.75,100.0,100.0,100.0
FFE80A1B,80,100.0,100.0,100.0,100.0
FFE80A21,80,88.75,100.0,100.0,100.0
FFE80A31,80,95.0,100.0,100.0,100.0
FFE80A3C,80,90.0,100.0,100.0,100.0
FFE80A41,80,93.75,100.0,100.0,100.0
FFE80A43,80,97.5,100.0,100.0,100.0
FFE80A78,80,97.5,100.0,100.0,100.0
FFE80A7B,80,96.25,100.0,100.0,100.0
FFE80A84,80,97.5,100.0,100.0,100.0
FFE80A8A,80,95.0,100.0,100.0,100.0
FFE80A8C,80,93.75,100.0,100.0,100.0
FFE80A92,80,91.25,100.0,100.0,96.25
FFE80A94,80,97.5,100.0,100.0,100.0
FFE80A9E,80,95.0,100.0,100.0,100.0
FFE80AA2,80,95.0,100.0,100.0,100.0
FFE80AA5,80,97.5,100.0,100.0,100.0
FFE80AC5,80,91.25,100.0,100.0,100.0
FFE80AD3,80,93.75,100.0,100.0,98.75
FFE80AD9,80,93.75,100.0,100.0,100.0
FFE80AE4,80,91.25,100.0,100.0,100.0
FFE80AE7,80,88.75,100.0,100.0,100.0
FFE80AEB,80,92.5,100.0,100.0,98.75
FFE80AED,80,96.25,100.0,100.0,100.0
FFE80AF3,80,96.25,100.0,100.0,100.0
FFE80AFE,80,97.5,100.0,100.0,100.0
FFE80B19,80,100.0,100.0,100.0,100.0
FFE80B27,80,97.5,100.0,100.0,98.75
FFE80B37,80,97.5,100.0,100.0,100.0
FFE80B3E,80,97.5,100.0,100.0,100.0
FFE80B52,80,92.5,100.0,98.75,100.0
FFE80B56,80,97.5,100.0,100.0,100.0
FFE80B58,80,96.25,100.0,100.0,100.0
FFE80B5F,80,93.75,100.0,100.0,100.0
FFE80B60,80,96.25,100.0,100.0,100.0
FFE80B6C,80,95.0,100.0,100.0,100.0
FFE80B6F,80,93.75,100.0,100.0,100.0
FFE80B75,80,100.0,100.0,100.0,100.0
FFE80B76,80,91.25,100.0,100.0,98.75
FFE80B78,80,98.75,100.0,100.0,100.0
FFE80B8E,80,95.0,100.0,100.0,100.0
FFE80B93,80,95.0,100.0,100.0,100.0
FFE80B97,80,95.0,100.0,100.0,100.0
FFE80B99,80,95.0,100.0,100.0,100.0
FFE80BAE,80,95.0,100.0,100.0,98.75
FFE80BBC,80,92.5,100.0,100.0,100.0
FFE80BC0,80,96.25,100.0,100.0,100.0
FFE80BCF,80,93.75,100.0,100.0,100.0
FFE80BD7,80,95.0,100.0,100.0,100.0
FFE80BDD,80,97.5,100.0,73.75,98.75
FFE80BE4,80,96.25,100.0,100.0,100.0
FFE80C11,80,98.75,100.0,100.0,100.0
FFE80C18,80,95.0,100.0,100.0,100.0
FFE80C1A,80,97.5,100.0,100.0,100.0
FFE80C23,80,90.0,100.0,100.0,100.0
FFE80C2A,80,92.5,100.0,100.0,100.0
FFE80C42,80,93.75,100.0,100.0,100.0
FFE80C44,80,96.25,100.0,100.0,100.0
FFE80C45,80,93.75,100.0,100.0,100.0
FFE80C4C,80,96.25,100.0,100.0,100.0
FFE80C4D,80,93.75,100.0,100.0,100.0
FFE80C67,80,100.0,100.0,100.0,100.0
FFE80C69,80,97.5,100.0,100.0,100.0
FFE80C80,80,98.75,100.0,100.0,100.0
FFE80CCA,80,95.0,100.0,100.0,100.0
FFE80CE0,80,90.0,100.0,100.0,100.0
FFE80CE6,80,98.75,100.0,100.0,100.0
FFE80CE7,80,95.0,100.0,100.0,100.0
FFE80CF6,80,93.75,100.0,100.0,100.0
FFE80CFE,80,96.25,100.0,100.0,100.0
FFE80D14,80,92.5,100.0,100.0,100.0
FFE80D1C,80,93.75,100.0,100.0,100.0
FFE80D2E,80,98.75,100.0,100.0,100.0
FFE80D2F,80,90.0,100.0,100.0,100.0
FFE80D3F,80,93.75,100.0,100.0,100.0
FFE80D48,80,98.75,100.0,100.0,100.0
FFE80D4C,80,93.75,100.0,100.0,98.75
FFE80D53,80,88.75,100.0,100.0,100.0
FFE80D5D,80,95.0,100.0,100.0,100.0
FFE80D71,80,97.5,100.0,100.0,100.0
FFE80D77,80,100.0,100.0,100.0,100.0
FFE80D79,80,92.5,100.0,100.0,100.0
FFE80D7D,80,91.25,100.0,100.0,100.0
FFE80D83,80,95.0,100.0,100.0,100.0
FFE80D95,80,97.5,100.0,100.0,100.0
FFE80DAB,80,97.5,100.0,100.0,100.0
FFE80DB1,80,95.0,100.0,100.0,97.5
FFE80DB3,80,92.5,100.0,100.0,100.0
FFE80DB4,80,92.5,100.0,100.0,100.0
FFE80DC0,80,96.25,100.0,100.0,97.5
FFE80DC2,80,92.5,100.0,100.0,100.0
FFE80DCF,80,93.75,100.0,100.0,100.0
FFE80DD7,80,98.75,100.0,100.0,100.0
FFE80DE6,80,98.75,100.0,100.0,100.0
FFE80DEA,80,97.5,100.0,100.0,100.0
FFE80DF6,80,100.0,100.0,100.0,100.0
FFE80DFB,80,95.0,100.0,100.0,97.5
FFE80E08,80,96.25,100.0,100.0,100.0
FFE80E14,80,95.0,100.0,100.0,93.75
FFE80E2C,80,96.25,100.0,100.0,100.0
FFE80E2F,80,98.75,100.0,100.0,100.0
FFE80E78,80,97.5,100.0,100.0,100.0
FFE80EA2,80,91.25,100.0,100.0,100.0
FFE80EC7,80,88.75,100.0,100.0,100.0
FFE80ED8,80,96.25,100.0,100.0,100.0
FFE80F0B,80,93.75,100.0,98.75,100.0
FFE80F12,80,92.5,100.0,100.0,100.0
FFE80F4D,80,100.0,100.0,100.0,100.0
FFE80F5D,80,91.25,100.0,100.0,100.0
FFE80F67,80,91.25,100.0,100.0,100.0
FFE80F81,80,93.75,100.0,100.0,100.0
FFE80F82,80,83.75,100.0,100.0,100.0
FFE80FB8,80,98.75,100.0,100.0,100.0
FFE80FCC,80,95.0,100.0,98.75,100.0
FFE80FD4,80,86.25,100.0,98.75,100.0
FFE80FDE,80,91.25,100.0,100.0,100.0
FFE80FDF,80,100.0,100.0,100.0,100.0
FFE81002,80,95.0,100.0,100.0,100.0
FFE8101B,80,91.25,100.0,100.0,100.0
FFE8101D,80,97.5,100.0,100.0,100.0
FFE81026,80,91.25,100.0,100.0,96.25
FFE8102D,80,92.5,100.0,100.0,100.0
FFE81034,80,92.5,100.0,98.75,100.0
FFE8103F,80,95.0,100.0,100.0,100.0
FFE8104D,80,93.75,100.0,100.0,100.0
FFE81059,80,88.75,100.0,100.0,100.0
FFE8108B,80,93.75,100.0,100.0,100.0
FFE8108C,80,95.0,100.0,100.0,100.0
FFE8109B,80,88.75,100.0,100.0,100.0
FFE810A0,80,93.75,100.0,100.0,100.0
FFE810D3,80,91.25,100.0,98.75,100.0
FFE810F8,80,96.25,100.0,100.0,100.0
FFE8111C,80,83.75,100.0,100.0,100.0
FFE8119A,80,92.5,100.0,98.75,100.0
FFE811CA,80,91.25,100.0,100.0,100.0
FFE81208,80,97.5,100.0,100.0,100.0
FFE81210,80,91.25,100.0,100.0,100.0
FFE81217,80,98.75,100.0,100.0,100.0
