시퀀스 명,시퀀스 길이(초),Turn의 False 비율(%),Lane의 False 비율(%),Speed의 False 비율(%),Hazard의 False 비율(%)
FFE809A4,80,88.75,100.0,100.0,100.0
FFE809A7,80,98.75,100.0,100.0,100.0
FFE809A9,80,93.75,100.0,100.0,100.0
FFE809B4,80,92.5,100.0,100.0,100.0
FFE809BD,80,92.5,100.0,100.0,100.0
FFE809CD,80,98.75,100.0,100.0,96.25
FFE809CE,80,96.25,100.0,100.0,96.25
FFE809D2,80,95.0,100.0,100.0,100.0
FFE80A01,80,98.75,100.0,100.0,100.0
FFE80A08,80,96.25,100.0,100.0,100.0
FFE80A0B,80,97.5,100.0,100.0,100.0
FFE80A11,80,96.25,100.0,100.0,100.0
FFE80A13,80,92.5,100.0,100.0,100.0
FFE80A15,80,95.0,100.0,100.0,100.0
FFE80A18,80,98.75,100.0,100.0,100.0
FFE80A27,80,95.0,100.0,100.0,100.0
FFE80A3B,80,93.75,100.0,100.0,100.0
FFE80A5D,80,91.25,100.0,100.0,100.0
FFE80A8B,80,96.25,100.0,100.0,97.5
FFE80A8D,80,90.0,100.0,100.0,100.0
FFE80A91,80,100.0,100.0,100.0,100.0
FFE80AA2,80,97.5,100.0,100.0,100.0
FFE80AAC,80,93.75,100.0,100.0,100.0
FFE80AB4,80,95.0,100.0,100.0,100.0
FFE80AB5,80,96.25,100.0,100.0,100.0
FFE80AB9,80,93.75,100.0,100.0,100.0
FFE80ACD,80,98.75,100.0,100.0,100.0
FFE80ADD,80,95.0,100.0,100.0,100.0
FFE80AE0,80,92.5,100.0,100.0,100.0
FFE80AE2,80,95.0,100.0,100.0,100.0
FFE80AE3,80,91.25,100.0,100.0,100.0
FFE80AF2,80,90.0,100.0,100.0,98.75
FFE80AF7,80,93.75,100.0,100.0,100.0
FFE80B06,80,100.0,100.0,100.0,100.0
FFE80B08,80,97.5,100.0,100.0,100.0
FFE80B0C,80,96.25,100.0,100.0,100.0
FFE80B25,80,96.25,100.0,100.0,100.0
FFE80B27,80,91.25,100.0,100.0,100.0
FFE80B31,80,98.75,100.0,100.0,100.0
FFE80B34,80,88.75,100.0,100.0,100.0
FFE80B3F,80,97.5,100.0,100.0,100.0
FFE80B41,80,97.5,100.0,100.0,100.0
FFE80B4E,80,92.5,100.0,100.0,100.0
FFE80B53,80,97.5,100.0,100.0,100.0
FFE80B76,80,92.5,100.0,100.0,98.75
FFE80B79,80,90.0,100.0,100.0,100.0
FFE80B7C,80,95.0,100.0,100.0,100.0
FFE80B85,80,96.25,100.0,100.0,100.0
FFE80BA0,80,92.5,100.0,100.0,100.0
FFE80BA3,80,100.0,100.0,100.0,100.0
FFE80BA5,80,93.75,100.0,100.0,100.0
FFE80BAD,80,87.5,100.0,100.0,100.0
FFE80BB0,80,92.5,100.0,100.0,100.0
FFE80BB3,80,97.5,100.0,100.0,97.5
FFE80BBD,80,93.75,100.0,100.0,100.0
FFE80BE5,80,97.5,100.0,100.0,100.0
FFE80BE9,80,90.0,100.0,100.0,100.0
FFE80BFC,80,95.0,100.0,100.0,100.0
FFE80C04,80,91.25,100.0,100.0,100.0
FFE80C0E,80,91.25,100.0,100.0,100.0
FFE80C2E,80,95.0,100.0,100.0,100.0
FFE80C33,80,93.75,100.0,100.0,100.0
FFE80C3E,80,92.5,100.0,100.0,97.5
FFE80C40,80,91.25,100.0,100.0,100.0
FFE80C52,80,96.25,100.0,100.0,100.0
FFE80C68,80,96.25,100.0,100.0,100.0
FFE80C6E,80,100.0,100.0,100.0,100.0
FFE80C7D,80,98.75,100.0,100.0,100.0
FFE80C82,80,96.25,100.0,100.0,100.0
FFE80C86,80,96.25,100.0,100.0,97.5
FFE80C9A,80,96.25,100.0,100.0,100.0
FFE80CA2,80,97.5,100.0,100.0,100.0
FFE80CB0,80,96.25,100.0,100.0,100.0
FFE80CB9,80,91.25,100.0,100.0,100.0
FFE80CBD,80,82.5,100.0,100.0,100.0
FFE80CC4,80,98.75,100.0,100.0,100.0
FFE80CDE,80,81.25,100.0,98.75,100.0
FFE80CED,80,98.75,100.0,100.0,100.0
FFE80D11,80,91.25,100.0,100.0,100.0
FFE80D37,80,95.0,100.0,100.0,100.0
FFE80D42,80,96.25,100.0,100.0,100.0
FFE80D48,80,93.75,100.0,100.0,100.0
FFE80D4B,80,100.0,100.0,100.0,100.0
FFE80D50,80,93.75,100.0,100.0,100.0
FFE80D51,80,100.0,100.0,100.0,100.0
FFE80D5A,80,98.75,100.0,100.0,100.0
FFE80D5B,80,93.75,100.0,100.0,100.0
FFE80D5F,80,88.75,100.0,100.0,100.0
FFE80D7C,80,95.0,100.0,100.0,98.75
FFE80D7D,80,97.5,100.0,100.0,100.0
FFE80D97,80,90.0,100.0,100.0,100.0
FFE80DB4,80,93.75,100.0,100.0,100.0
FFE80DBB,80,97.5,100.0,100.0,100.0
FFE80DC7,80,93.75,100.0,100.0,100.0
FFE80DCF,80,92.5,100.0,100.0,100.0
FFE80DED,80,92.5,100.0,100.0,100.0
FFE80DF7,80,95.0,100.0,100.0,98.75
FFE80E16,80,91.25,100.0,100.0,100.0
FFE80E1D,80,96.25,100.0,100.0,100.0
FFE80E29,80,92.5,100.0,100.0,100.0
FFE80E37,80,95.0,100.0,100.0,97.5
FFE80E49,80,96.25,100.0,100.0,100.0
FFE80E54,80,92.5,100.0,100.0,100.0
FFE80E58,80,85.0,100.0,100.0,100.0
FFE80E5C,80,92.5,100.0,100.0,100.0
FFE80E61,80,92.5,100.0,100.0,100.0
FFE80E85,80,88.75,100.0,98.75,100.0
FFE80E87,80,86.25,100.0,100.0,100.0
FFE80E9D,80,93.75,100.0,98.75,100.0
FFE80EB2,80,98.75,100.0,100.0,100.0
FFE80EBD,80,93.75,100.0,100.0,100.0
FFE80EC3,80,98.75,100.0,100.0,100.0
FFE80EDA,80,96.25,100.0,100.0,100.0
FFE80EDD,80,92.5,100.0,100.0,98.75
FFE80EF6,80,83.75,100.0,98.75,92.5
FFE80EFC,80,88.75,100.0,100.0,100.0
FFE80F1D,80,93.75,100.0,100.0,97.5
FFE80F23,80,93.75,100.0,100.0,100.0
FFE80F2E,80,83.75,100.0,100.0,100.0
FFE80F2F,80,91.25,100.0,98.75,100.0
FFE80F32,80,100.0,100.0,100.0,98.75
FFE80F3F,80,80.0,100.0,100.0,100.0
FFE80F53,80,96.25,100.0,100.0,100.0
FFE80F5B,80,96.25,100.0,100.0,100.0
FFE80F9C,80,93.75,100.0,100.0,100.0
FFE80F9D,80,93.75,100.0,100.0,100.0
FFE80FBF,80,93.75,100.0,100.0,97.5
