클립 70CE06E7의 길이: 63초, 	'Turn'의 False 비율: 95.24%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 70CE0799의 길이: 618초, 	'Turn'의 False 비율: 97.25%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 99.84%, 	'Hazard'의 False 비율: 100.00%
클립 70CE07CA의 길이: 174초, 	'Turn'의 False 비율: 95.98%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 99.43%, 	'Hazard'의 False 비율: 100.00%
클립 70CE0A0B의 길이: 34초, 	'Turn'의 False 비율: 94.12%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 70CE0B35의 길이: 10초, 	'Turn'의 False 비율: 90.00%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 70CE0D9E의 길이: 6초, 	'Turn'의 False 비율: 83.33%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809A1의 길이: 508초, 	'Turn'의 False 비율: 94.49%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809A3의 길이: 504초, 	'Turn'의 False 비율: 97.22%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 99.80%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809A4의 길이: 891초, 	'Turn'의 False 비율: 95.96%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809A5의 길이: 497초, 	'Turn'의 False 비율: 93.16%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809A6의 길이: 661초, 	'Turn'의 False 비율: 93.65%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809A7의 길이: 569초, 	'Turn'의 False 비율: 95.08%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809A8의 길이: 550초, 	'Turn'의 False 비율: 93.82%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 99.82%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809A9의 길이: 392초, 	'Turn'의 False 비율: 91.58%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809AB의 길이: 653초, 	'Turn'의 False 비율: 93.26%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809AC의 길이: 546초, 	'Turn'의 False 비율: 94.32%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 99.63%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809AD의 길이: 401초, 	'Turn'의 False 비율: 91.02%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809AF의 길이: 551초, 	'Turn'의 False 비율: 97.28%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809B1의 길이: 722초, 	'Turn'의 False 비율: 92.80%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809B4의 길이: 426초, 	'Turn'의 False 비율: 92.72%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809B7의 길이: 398초, 	'Turn'의 False 비율: 95.98%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809B8의 길이: 180초, 	'Turn'의 False 비율: 92.78%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809BA의 길이: 1020초, 	'Turn'의 False 비율: 97.16%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809BB의 길이: 829초, 	'Turn'의 False 비율: 96.02%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809BD의 길이: 531초, 	'Turn'의 False 비율: 95.86%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809BE의 길이: 517초, 	'Turn'의 False 비율: 94.58%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809BF의 길이: 401초, 	'Turn'의 False 비율: 93.52%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 99.75%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809C1의 길이: 669초, 	'Turn'의 False 비율: 96.41%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809C2의 길이: 524초, 	'Turn'의 False 비율: 95.99%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809C3의 길이: 637초, 	'Turn'의 False 비율: 94.98%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809C5의 길이: 505초, 	'Turn'의 False 비율: 97.03%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809C6의 길이: 525초, 	'Turn'의 False 비율: 93.71%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809C7의 길이: 459초, 	'Turn'의 False 비율: 96.30%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809C8의 길이: 540초, 	'Turn'의 False 비율: 94.26%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809C9의 길이: 477초, 	'Turn'의 False 비율: 90.36%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809CA의 길이: 642초, 	'Turn'의 False 비율: 95.33%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809CB의 길이: 516초, 	'Turn'의 False 비율: 96.71%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 99.61%, 	'Hazard'의 False 비율: 100.00%
클립 FFE809CC의 길이: 782초, 	'Turn'의 False 비율: 93.73%, 	'Lane'의 False 비율: 100.00%, 	'Speed'의 False 비율: 100.00%, 	'Hazard'의 False 비율: 100.00%
